"Notes"	"OE Gestational Age Weekly"	"OE Gestational Age Weekly Code"	"Month Prenatal Care Began"	"Month Prenatal Care Began Code"	"Year of Death"	"Year of Death Code"	Deaths	Births	Death Rate
	"30 weeks"	"30"	"3rd month"	"03"	"2015"	"2015"	83	2162	38.39
	"30 weeks"	"30"	"3rd month"	"03"	"2016"	"2016"	76	2096	36.26
	"30 weeks"	"30"	"3rd month"	"03"	"2017"	"2017"	80	2290	34.93
	"30 weeks"	"30"	"3rd month"	"03"	"2018"	"2018"	73	2265	32.23
"Total"	"30 weeks"	"30"	"3rd month"	"03"			313	8813	35.52
	"30 weeks"	"30"	"4th month"	"04"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"4th month"	"04"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"4th month"	"04"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"4th month"	"04"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"4th month"	"04"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"4th month"	"04"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"4th month"	"04"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"4th month"	"04"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"4th month"	"04"	"2015"	"2015"	26	708	36.72
	"30 weeks"	"30"	"4th month"	"04"	"2016"	"2016"	30	744	40.32
	"30 weeks"	"30"	"4th month"	"04"	"2017"	"2017"	30	731	41.04
	"30 weeks"	"30"	"4th month"	"04"	"2018"	"2018"	30	760	39.47
"Total"	"30 weeks"	"30"	"4th month"	"04"			117	2943	39.76
	"30 weeks"	"30"	"5th month"	"05"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"5th month"	"05"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"5th month"	"05"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"5th month"	"05"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"5th month"	"05"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"5th month"	"05"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"5th month"	"05"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"5th month"	"05"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"5th month"	"05"	"2015"	"2015"	19	463	41.04 (Unreliable)
	"30 weeks"	"30"	"5th month"	"05"	"2016"	"2016"	27	420	64.29
	"30 weeks"	"30"	"5th month"	"05"	"2017"	"2017"	20	448	44.64
	"30 weeks"	"30"	"5th month"	"05"	"2018"	"2018"	22	397	55.42
"Total"	"30 weeks"	"30"	"5th month"	"05"			88	1728	50.93
	"30 weeks"	"30"	"6th month"	"06"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"6th month"	"06"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"6th month"	"06"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"6th month"	"06"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"6th month"	"06"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"6th month"	"06"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"6th month"	"06"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"6th month"	"06"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"6th month"	"06"	"2015"	"2015"	16	238	67.23 (Unreliable)
	"30 weeks"	"30"	"6th month"	"06"	"2016"	"2016"	21	276	76.09
	"30 weeks"	"30"	"6th month"	"06"	"2017"	"2017"	14	258	54.26 (Unreliable)
	"30 weeks"	"30"	"6th month"	"06"	"2018"	"2018"	11	248	44.35 (Unreliable)
"Total"	"30 weeks"	"30"	"6th month"	"06"			62	1020	60.78
	"30 weeks"	"30"	"7th month"	"07"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"7th month"	"07"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"7th month"	"07"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"7th month"	"07"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"7th month"	"07"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"7th month"	"07"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"7th month"	"07"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"7th month"	"07"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"7th month"	"07"	"2015"	"2015"	10	128	78.12 (Unreliable)
	"30 weeks"	"30"	"7th month"	"07"	"2016"	"2016"	12	141	85.11 (Unreliable)
	"30 weeks"	"30"	"7th month"	"07"	"2017"	"2017"	14	170	82.35 (Unreliable)
	"30 weeks"	"30"	"7th month"	"07"	"2018"	"2018"	11	166	66.27 (Unreliable)
"Total"	"30 weeks"	"30"	"7th month"	"07"			47	605	77.69
	"30 weeks"	"30"	"8th month"	"08"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"8th month"	"08"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"8th month"	"08"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"8th month"	"08"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"8th month"	"08"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"8th month"	"08"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"8th month"	"08"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"8th month"	"08"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"8th month"	"08"	"2015"	"2015"	0	0	0.00
	"30 weeks"	"30"	"8th month"	"08"	"2016"	"2016"	0	0	0.00
	"30 weeks"	"30"	"8th month"	"08"	"2017"	"2017"	0	0	0.00
	"30 weeks"	"30"	"8th month"	"08"	"2018"	"2018"	0	0	0.00
"Total"	"30 weeks"	"30"	"8th month"	"08"			0	0	0.00
	"30 weeks"	"30"	"9th month"	"09"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"9th month"	"09"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"9th month"	"09"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"9th month"	"09"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"9th month"	"09"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"9th month"	"09"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"9th month"	"09"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"9th month"	"09"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"9th month"	"09"	"2015"	"2015"	0	0	0.00
	"30 weeks"	"30"	"9th month"	"09"	"2016"	"2016"	0	0	0.00
	"30 weeks"	"30"	"9th month"	"09"	"2017"	"2017"	0	0	0.00
	"30 weeks"	"30"	"9th month"	"09"	"2018"	"2018"	0	0	0.00
"Total"	"30 weeks"	"30"	"9th month"	"09"			0	0	0.00
	"30 weeks"	"30"	"10th month"	"10"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"10th month"	"10"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"10th month"	"10"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"10th month"	"10"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"10th month"	"10"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"10th month"	"10"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"10th month"	"10"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"10th month"	"10"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"30 weeks"	"30"	"10th month"	"10"	"2015"	"2015"	0	0	0.00
	"30 weeks"	"30"	"10th month"	"10"	"2016"	"2016"	0	0	0.00
	"30 weeks"	"30"	"10th month"	"10"	"2017"	"2017"	0	0	0.00
	"30 weeks"	"30"	"10th month"	"10"	"2018"	"2018"	0	0	0.00
"Total"	"30 weeks"	"30"	"10th month"	"10"			0	0	0.00
"Total"	"30 weeks"	"30"					1367	35007	39.05
	"31 weeks"	"31"	"No prenatal care"	"00"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"No prenatal care"	"00"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"No prenatal care"	"00"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"No prenatal care"	"00"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"No prenatal care"	"00"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"No prenatal care"	"00"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"No prenatal care"	"00"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"No prenatal care"	"00"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"No prenatal care"	"00"	"2015"	"2015"	19	578	32.87 (Unreliable)
	"31 weeks"	"31"	"No prenatal care"	"00"	"2016"	"2016"	20	592	33.78
	"31 weeks"	"31"	"No prenatal care"	"00"	"2017"	"2017"	28	728	38.46
	"31 weeks"	"31"	"No prenatal care"	"00"	"2018"	"2018"	26	649	40.06
"Total"	"31 weeks"	"31"	"No prenatal care"	"00"			93	2547	36.51
	"31 weeks"	"31"	"1st month"	"01"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"1st month"	"01"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"1st month"	"01"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"1st month"	"01"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"1st month"	"01"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"1st month"	"01"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"1st month"	"01"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"1st month"	"01"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"1st month"	"01"	"2015"	"2015"	36	1517	23.73
	"31 weeks"	"31"	"1st month"	"01"	"2016"	"2016"	39	1429	27.29
	"31 weeks"	"31"	"1st month"	"01"	"2017"	"2017"	35	1379	25.38
	"31 weeks"	"31"	"1st month"	"01"	"2018"	"2018"	41	1248	32.85
"Total"	"31 weeks"	"31"	"1st month"	"01"			152	5573	27.27
	"31 weeks"	"31"	"2nd month"	"02"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"2nd month"	"02"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"2nd month"	"02"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"2nd month"	"02"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"2nd month"	"02"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"2nd month"	"02"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"2nd month"	"02"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"2nd month"	"02"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"2nd month"	"02"	"2015"	"2015"	131	4305	30.43
	"31 weeks"	"31"	"2nd month"	"02"	"2016"	"2016"	124	4342	28.56
	"31 weeks"	"31"	"2nd month"	"02"	"2017"	"2017"	132	4377	30.16
	"31 weeks"	"31"	"2nd month"	"02"	"2018"	"2018"	106	4263	24.87
"Total"	"31 weeks"	"31"	"2nd month"	"02"			492	17287	28.46
	"31 weeks"	"31"	"3rd month"	"03"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"3rd month"	"03"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"3rd month"	"03"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"3rd month"	"03"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"3rd month"	"03"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"3rd month"	"03"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"3rd month"	"03"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"3rd month"	"03"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"3rd month"	"03"	"2015"	"2015"	76	2804	27.10
	"31 weeks"	"31"	"3rd month"	"03"	"2016"	"2016"	101	2918	34.61
	"31 weeks"	"31"	"3rd month"	"03"	"2017"	"2017"	80	3029	26.41
	"31 weeks"	"31"	"3rd month"	"03"	"2018"	"2018"	87	2835	30.69
"Total"	"31 weeks"	"31"	"3rd month"	"03"			344	11586	29.69
	"31 weeks"	"31"	"4th month"	"04"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"4th month"	"04"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"4th month"	"04"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"4th month"	"04"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"4th month"	"04"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"4th month"	"04"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"4th month"	"04"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"4th month"	"04"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"4th month"	"04"	"2015"	"2015"	33	984	33.54
	"31 weeks"	"31"	"4th month"	"04"	"2016"	"2016"	37	967	38.26
	"31 weeks"	"31"	"4th month"	"04"	"2017"	"2017"	36	996	36.14
	"31 weeks"	"31"	"4th month"	"04"	"2018"	"2018"	39	922	42.30
"Total"	"31 weeks"	"31"	"4th month"	"04"			146	3869	37.74
	"31 weeks"	"31"	"5th month"	"05"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"5th month"	"05"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"5th month"	"05"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"5th month"	"05"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"5th month"	"05"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"5th month"	"05"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"5th month"	"05"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"5th month"	"05"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"5th month"	"05"	"2015"	"2015"	18	569	31.63 (Unreliable)
	"31 weeks"	"31"	"5th month"	"05"	"2016"	"2016"	20	551	36.30
	"31 weeks"	"31"	"5th month"	"05"	"2017"	"2017"	21	584	35.96
	"31 weeks"	"31"	"5th month"	"05"	"2018"	"2018"	33	611	54.01
"Total"	"31 weeks"	"31"	"5th month"	"05"			92	2315	39.74
	"31 weeks"	"31"	"6th month"	"06"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"6th month"	"06"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"6th month"	"06"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"6th month"	"06"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"6th month"	"06"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"6th month"	"06"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"6th month"	"06"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"6th month"	"06"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"6th month"	"06"	"2015"	"2015"	25	342	73.10
	"31 weeks"	"31"	"6th month"	"06"	"2016"	"2016"	20	358	55.87
	"31 weeks"	"31"	"6th month"	"06"	"2017"	"2017"	20	324	61.73
	"31 weeks"	"31"	"6th month"	"06"	"2018"	"2018"	15	342	43.86 (Unreliable)
"Total"	"31 weeks"	"31"	"6th month"	"06"			81	1366	59.30
	"31 weeks"	"31"	"7th month"	"07"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"7th month"	"07"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"7th month"	"07"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"7th month"	"07"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"7th month"	"07"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"7th month"	"07"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"7th month"	"07"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"7th month"	"07"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"7th month"	"07"	"2015"	"2015"	16	228	70.18 (Unreliable)
	"31 weeks"	"31"	"7th month"	"07"	"2016"	"2016"	11	254	43.31 (Unreliable)
	"31 weeks"	"31"	"7th month"	"07"	"2017"	"2017"	6	266	22.56 (Unreliable)
	"31 weeks"	"31"	"7th month"	"07"	"2018"	"2018"	14	294	47.62 (Unreliable)
"Total"	"31 weeks"	"31"	"7th month"	"07"			47	1042	45.11
	"31 weeks"	"31"	"8th month"	"08"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"8th month"	"08"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"8th month"	"08"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"8th month"	"08"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"8th month"	"08"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"8th month"	"08"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"8th month"	"08"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"8th month"	"08"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"8th month"	"08"	"2015"	"2015"	0	0	0.00
	"31 weeks"	"31"	"8th month"	"08"	"2016"	"2016"	0	0	0.00
	"31 weeks"	"31"	"8th month"	"08"	"2017"	"2017"	0	0	0.00
	"31 weeks"	"31"	"8th month"	"08"	"2018"	"2018"	0	0	0.00
"Total"	"31 weeks"	"31"	"8th month"	"08"			0	0	0.00
	"31 weeks"	"31"	"9th month"	"09"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"9th month"	"09"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"9th month"	"09"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"9th month"	"09"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"9th month"	"09"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"9th month"	"09"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"9th month"	"09"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"9th month"	"09"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"9th month"	"09"	"2015"	"2015"	0	0	0.00
	"31 weeks"	"31"	"9th month"	"09"	"2016"	"2016"	0	0	0.00
	"31 weeks"	"31"	"9th month"	"09"	"2017"	"2017"	0	0	0.00
	"31 weeks"	"31"	"9th month"	"09"	"2018"	"2018"	0	0	0.00
"Total"	"31 weeks"	"31"	"9th month"	"09"			0	0	0.00
	"31 weeks"	"31"	"10th month"	"10"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"10th month"	"10"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"10th month"	"10"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"10th month"	"10"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"10th month"	"10"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"10th month"	"10"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"10th month"	"10"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"10th month"	"10"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"31 weeks"	"31"	"10th month"	"10"	"2015"	"2015"	0	0	0.00
	"31 weeks"	"31"	"10th month"	"10"	"2016"	"2016"	0	0	0.00
	"31 weeks"	"31"	"10th month"	"10"	"2017"	"2017"	0	0	0.00
	"31 weeks"	"31"	"10th month"	"10"	"2018"	"2018"	0	0	0.00
"Total"	"31 weeks"	"31"	"10th month"	"10"			0	0	0.00
"Total"	"31 weeks"	"31"					1448	45585	31.76
	"32 weeks"	"32"	"No prenatal care"	"00"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"32 weeks"	"32"	"No prenatal care"	"00"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"32 weeks"	"32"	"No prenatal care"	"00"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"32 weeks"	"32"	"No prenatal care"	"00"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"32 weeks"	"32"	"No prenatal care"	"00"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"32 weeks"	"32"	"No prenatal care"	"00"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"32 weeks"	"32"	"No prenatal care"	"00"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"32 weeks"	"32"	"No prenatal care"	"00"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"32 weeks"	"32"	"No prenatal care"	"00"	"2015"	"2015"	24	860	27.91
	"32 weeks"	"32"	"No prenatal care"	"00"	"2016"	"2016"	24	915	26.23
	"32 weeks"	"32"	"No prenatal care"	"00"	"2017"	"2017"	30	1034	29.01
	"32 weeks"	"32"	"No prenatal care"	"00"	"2018"	"2018"	35	1060	33.02
"Total"	"32 weeks"	"32"	"No prenatal care"	"00"			113	3869	29.21
	"32 weeks"	"32"	"1st month"	"01"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"32 weeks"	"32"	"1st month"	"01"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"32 weeks"	"32"	"1st month"	"01"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"32 weeks"	"32"	"1st month"	"01"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"32 weeks"	"32"	"1st month"	"01"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"32 weeks"	"32"	"1st month"	"01"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"32 weeks"	"32"	"1st month"	"01"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"32 weeks"	"32"	"1st month"	"01"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"32 weeks"	"32"	"1st month"	"01"	"2015"	"2015"	51	2202	23.16
	"32 weeks"	"32"	"1st month"	"01"	"2016"	"2016"	39	1975	19.75
	"32 weeks"	"32"	"1st month"	"01"	"2017"	"2017"	49	1908	25.68
	"32 weeks"	"32"	"1st month"	"01"	"2018"	"2018"	47	1895	24.80
"Total"	"32 weeks"	"32"	"1st month"	"01"			187	7980	23.43
	"32 weeks"	"32"	"2nd month"	"02"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"32 weeks"	"32"	"2nd month"	"02"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"32 weeks"	"32"	"2nd month"	"02"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"32 weeks"	"32"	"2nd month"	"02"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"32 weeks"	"32"	"2nd month"	"02"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"32 weeks"	"32"	"2nd month"	"02"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"32 weeks"	"32"	"2nd month"	"02"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"32 weeks"	"32"	"2nd month"	"02"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"32 weeks"	"32"	"2nd month"	"02"	"2015"	"2015"	129	6588	19.58
	"32 weeks"	"32"	"2nd month"	"02"	"2016"	"2016"	145	6715	21.59
	"32 weeks"	"32"	"2nd month"	"02"	"2017"	"2017"	140	6608	21.19
	"32 weeks"	"32"	"2nd month"	"02"	"2018"	"2018"	143	6619	21.60
"Total"	"32 weeks"	"32"	"2nd month"	"02"			556	26530	20.96
	"32 weeks"	"32"	"3rd month"	"03"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"32 weeks"	"32"	"3rd month"	"03"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
