Category,Indicator,Year,SampleSize,Prevalence,CI,State
Health Care Services,Began prenatal care in 1st trimester,2013,1352,85.0,(82.5-87.2),NewYorkCity
Health Care Services,Began prenatal care in 1st trimester,2014,1247,83.0,(80.6-85.1),NewYorkCity
Health Care Services,Began prenatal care in 1st trimester,2015,1394,86.4,(84.3-88.2),NewYorkCity
Health Care Services,Took childbirth class,2012,1510,25.8,(23.1-28.6),NewYorkCity
Health Care Services,Took childbirth class,2013,1384,26.5,(23.8-29.5),NewYorkCity
Health Care Services,Took childbirth class,2014,1294,24.7,(22.3-27.3),NewYorkCity
Health Care Services,Took childbirth class,2015,1444,25.0,(22.7-27.5),NewYorkCity
Health Care Services,Had home visitor during pregnancy,2012,1514,6.1,(4.8-7.8),NewYorkCity
Health Care Services,Had home visitor during pregnancy,2013,1382,7.1,(5.7-9.0),NewYorkCity
Health Care Services,Had home visitor during pregnancy,2014,1295,6.8,(5.5-8.4),NewYorkCity
Health Care Services,Had home visitor during pregnancy,2015,1447,8.8,(7.3-10.5),NewYorkCity
Health Care Services,Had flu shot before or during pregnancy,2012,1456,37.6,(34.6-40.7),NewYorkCity
Health Care Services,Had flu shot before or during pregnancy,2013,1322,46.3,(43.0-49.5),NewYorkCity
Health Care Services,Had flu shot before or during pregnancy,2014,1242,52.7,(49.8-55.7),NewYorkCity
Health Care Services,Had flu shot before or during pregnancy,2015,1391,58.4,(55.6-61.1),NewYorkCity
Health Care Services,Had maternal postpartum checkup,2012,1494,91.3,(89.4-92.9),NewYorkCity
Health Care Services,Had maternal postpartum checkup,2013,1367,92.0,(90.1-93.6),NewYorkCity
Health Care Services,Had maternal postpartum checkup,2014,1289,92.5,(90.8-93.9),NewYorkCity
Health Care Services,Had maternal postpartum checkup,2015,1440,92.0,(90.4-93.4),NewYorkCity
Oral Health,Teeth cleaned during 12 months before pregnancy,2012,1514,56.0,(52.9-59.1),NewYorkCity
Oral Health,Teeth cleaned during 12 months before pregnancy,2013,1389,57.0,(53.8-60.1),NewYorkCity
Oral Health,Teeth cleaned during 12 months before pregnancy,2014,1287,61.6,(58.7-64.4),NewYorkCity
Oral Health,Teeth cleaned during 12 months before pregnancy,2015,1444,59.7,(57.0-62.4),NewYorkCity
Oral Health,Teeth cleaned during pregnancy,2012,1502,48.2,(45.1-51.4),NewYorkCity
Oral Health,Teeth cleaned during pregnancy,2013,1365,52.7,(49.4-55.9),NewYorkCity
Oral Health,Teeth cleaned during pregnancy,2014,1279,49.5,(46.5-52.4),NewYorkCity
Oral Health,Teeth cleaned during pregnancy,2015,1431,50.5,(47.7-53.3),NewYorkCity
Oral Health,Had dental insurance during pregnancy,2012,1487,78.4,(75.7-80.9),NewYorkCity
Oral Health,Had dental insurance during pregnancy,2013,1348,80.9,(78.2-83.4),NewYorkCity
Oral Health,Had dental insurance during pregnancy,2014,1260,82.1,(79.7-84.2),NewYorkCity
Oral Health,Had dental insurance during pregnancy,2015,1407,81.2,(78.9-83.3),NewYorkCity
Pre-pregnancy Health Insurance Status,Private insurance,2012,1424,44.3,(41.2-47.5),NewYorkCity
Pre-pregnancy Health Insurance Status,Private insurance,2013,1312,48.2,(44.9-51.4),NewYorkCity
Pre-pregnancy Health Insurance Status,Private insurance,2014,1232,46.5,(43.5-49.5),NewYorkCity
Pre-pregnancy Health Insurance Status,Private insurance,2015,1353,45.7,(42.9-48.6),NewYorkCity
Pre-pregnancy Health Insurance Status,Medicaid,2012,1424,30.9,(28.0-33.9),NewYorkCity
Pre-pregnancy Health Insurance Status,Medicaid,2013,1312,31.9,(28.9-35.0),NewYorkCity
Pre-pregnancy Health Insurance Status,Medicaid,2014,1232,30.3,(27.6-33.1),NewYorkCity
Pre-pregnancy Health Insurance Status,Medicaid,2015,1353,35.1,(32.4-37.9),NewYorkCity
Pre-pregnancy Health Insurance Status,No insurance,2012,1424,19.0,(16.6-21.7),NewYorkCity
Pre-pregnancy Health Insurance Status,No insurance,2013,1312,16.0,(13.8-18.6),NewYorkCity
Pre-pregnancy Health Insurance Status,No insurance,2014,1232,18.9,(16.7-21.4),NewYorkCity
Pre-pregnancy Health Insurance Status,No insurance,2015,1353,16.2,(14.2-18.5),NewYorkCity
Health Insurance Status During Pregnancy,Private insurance,2012,1405,44.9,(41.7-48.1),NewYorkCity
Health Insurance Status During Pregnancy,Private insurance,2013,1272,48.5,(45.2-51.9),NewYorkCity
Health Insurance Status During Pregnancy,Private insurance,2014,1201,46.3,(43.3-49.4),NewYorkCity
Health Insurance Status During Pregnancy,Private insurance,2015,1327,45.8,(42.9-48.7),NewYorkCity
Health Insurance Status During Pregnancy,Medicaid,2012,1405,46.3,(43.1-49.5),NewYorkCity
Health Insurance Status During Pregnancy,Medicaid,2013,1272,45.2,(41.9-48.5),NewYorkCity
Health Insurance Status During Pregnancy,Medicaid,2014,1201,46.3,(43.3-49.4),NewYorkCity
Health Insurance Status During Pregnancy,Medicaid,2015,1327,47.9,(45.0-50.8),NewYorkCity
Health Insurance Status During Pregnancy,No insurance,2012,1515,3.0,(2.1-4.3),NewYorkCity
Health Insurance Status During Pregnancy,No insurance,2013,1378,2.4,(1.6-3.7),NewYorkCity
Health Insurance Status During Pregnancy,No insurance,2014,1287,3.4,(2.5-4.6),NewYorkCity
Health Insurance Status During Pregnancy,No insurance,2015,1454,2.8,(2.0-4.0),NewYorkCity
Health Insurance Status Postpartum,Private insurance,2012,1416,40.2,(37.1-43.4),NewYorkCity
Health Insurance Status Postpartum,Private insurance,2013,1290,44.7,(41.4-48.0),NewYorkCity
Health Insurance Status Postpartum,Private insurance,2014,1204,43.7,(40.8-46.8),NewYorkCity
Health Insurance Status Postpartum,Private insurance,2015,1324,43.5,(40.6-46.3),NewYorkCity
Health Insurance Status Postpartum,Medicaid,2012,1416,39.5,(36.4-42.7),NewYorkCity
Health Insurance Status Postpartum,Medicaid,2013,1290,36.2,(33.1-39.5),NewYorkCity
Health Insurance Status Postpartum,Medicaid,2014,1204,38.8,(35.9-41.8),NewYorkCity
Health Insurance Status Postpartum,Medicaid,2015,1324,42.4,(39.6-45.3),NewYorkCity
Health Insurance Status Postpartum,No insurance,2012,1520,11.0,(9.2-13.0),NewYorkCity
Health Insurance Status Postpartum,No insurance,2013,1388,12.4,(10.5-14.7),NewYorkCity
Health Insurance Status Postpartum,No insurance,2014,1295,12.4,(10.5-14.4),NewYorkCity
Health Insurance Status Postpartum,No insurance,2015,1444,9.0,(7.5-10.8),NewYorkCity
Infant Sleep Practices,Baby most often laid on back to sleep,2012,1441,63.8,(60.7-66.8),NewYorkCity
Infant Sleep Practices,Baby most often laid on back to sleep,2013,1315,58.8,(55.6-62.0),NewYorkCity
Infant Sleep Practices,Baby most often laid on back to sleep,2014,1264,66.3,(63.4-69.0),NewYorkCity
Infant Sleep Practices,Baby most often laid on back to sleep,2015,1394,68.9,(66.2-71.4),NewYorkCity
Breastfeeding Practices,Ever breastfed,2012,1453,87.9,(85.7-89.8),NewYorkCity
Breastfeeding Practices,Ever breastfed,2013,1338,88.1,(85.8-90.1),NewYorkCity
Breastfeeding Practices,Ever breastfed,2014,1270,91.9,(90.1-93.4),NewYorkCity
Breastfeeding Practices,Ever breastfed,2015,1407,90.9,(89.2-92.4),NewYorkCity
Breastfeeding Practices,Any breastfeeding at 8 weeks,2012,1442,70.3,(67.4-73.1),NewYorkCity
Breastfeeding Practices,Any breastfeeding at 8 weeks,2013,1327,71.4,(68.4-74.2),NewYorkCity
Breastfeeding Practices,Any breastfeeding at 8 weeks,2014,1254,72.8,(70.1-75.4),NewYorkCity
Breastfeeding Practices,Any breastfeeding at 8 weeks,2015,1400,74.2,(71.6-76.6),NewYorkCity
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2013,1221,44.0,(39.9-48.2),NewYorkState
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2014,915,44.8,(40.7-48.9),NewYorkState
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2015,949,41.6,(37.7-45.7),NewYorkState
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2013,1222,29.1,(25.5-33.0),NewYorkState
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2014,917,31.0,(27.3-35.0),NewYorkState
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2015,955,30.3,(26.7-34.2),NewYorkState
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2013,1224,47.1,(43.0-51.3),NewYorkState
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2014,919,47.0,(42.9-51.1),NewYorkState
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2015,955,44.8,(40.8-48.9),NewYorkState
Pre-pregnancy Weight,Underweight (BMI<18.5),2013,1161,3.9,(2.5-5.8),NewYorkState
Pre-pregnancy Weight,Underweight (BMI<18.5),2014,892,3.7,(2.4-5.6),NewYorkState
Pre-pregnancy Weight,Underweight (BMI<18.5),2015,921,3.8,(2.4-5.8),NewYorkState
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2013,1161,23.2,(19.8-26.9),NewYorkState
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2014,892,28.0,(24.4-31.9),NewYorkState
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2015,921,23.8,(20.4-27.5),NewYorkState
Pre-pregnancy Weight,Obese (BMI >30),2013,1161,23.6,(20.1-27.5),NewYorkState
Pre-pregnancy Weight,Obese (BMI >30),2014,892,20.2,(17.1-23.9),NewYorkState
Pre-pregnancy Weight,Obese (BMI >30),2015,921,24.4,(20.9-28.2),NewYorkState
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2013,1220,20.7,(17.5-24.3),NewYorkState
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2014,916,22.9,(19.6-26.7),NewYorkState
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2015,947,23.6,(20.2-27.5),NewYorkState
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2013,1218,10.7,(8.3-13.6),NewYorkState
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2014,915,9.8,(7.6-12.6),NewYorkState
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2015,945,11.9,(9.4-15.0),NewYorkState
Substance Use,Any cigarette smoking postpartum,2013,1219,14.3,(11.6-17.6),NewYorkState
Substance Use,Any cigarette smoking postpartum,2014,914,13.9,(11.2-17.1),NewYorkState
Substance Use,Any cigarette smoking postpartum,2015,945,14.5,(11.7-17.9),NewYorkState
Substance Use,Any alcohol use during the 3 months before pregnancy,2013,1216,54.3,(50.1-58.4),NewYorkState
Substance Use,Any alcohol use during the 3 months before pregnancy,2014,913,57.9,(53.7-61.9),NewYorkState
Substance Use,Any alcohol use during the 3 months before pregnancy,2015,941,61.0,(56.9-65.0),NewYorkState
Substance Use,Any alcohol use during the last 3 months of pregnancy,2013,1216,7.6,(5.7-10.0),NewYorkState
Substance Use,Any alcohol use during the last 3 months of pregnancy,2014,912,9.3,(7.2-11.9),NewYorkState
Substance Use,Any alcohol use during the last 3 months of pregnancy,2015,941,6.0,(4.3-8.3),NewYorkState
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2013,1222,4.5,(3.0-6.8),NewYorkState
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2014,920,2.1,(1.2-3.8),NewYorkState
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2015,949,2.2,(1.2-3.9),NewYorkState
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2013,1221,3.4,(2.1-5.4),NewYorkState
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2014,919,2.3,(1.3-4.0),NewYorkState
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2015,948,1.6,(0.8-3.0),NewYorkState
Depression,Told by a provider had depression before pregnancy,2013,1208,11.2,(8.8-14.1),NewYorkState
Depression,Told by a provider had depression before pregnancy,2014,906,10.8,(8.4-13.8),NewYorkState
Depression,Told by a provider had depression before pregnancy,2015,945,11.8,(9.4-14.8),NewYorkState
Depression,Self-reported postpartum depressive symptoms,2013,1206,11.8,(9.4-14.7),NewYorkState
Depression,Self-reported postpartum depressive symptoms,2014,901,10.5,(8.2-13.5),NewYorkState
Depression,Self-reported postpartum depressive symptoms,2015,934,13.1,(10.5-16.2),NewYorkState
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2013,1023,31.5,(27.4-35.8),NewYorkState
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2014,775,28.2,(24.2-32.5),NewYorkState
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2015,813,27.1,(23.2-31.3),NewYorkState
Pregnancy Intention and Family Planning,Unsure about pregnancy,2013,1212,12.0,(9.5-14.9),NewYorkState
Pregnancy Intention and Family Planning,Unsure about pregnancy,2014,904,15.0,(12.2-18.3),NewYorkState
Pregnancy Intention and Family Planning,Unsure about pregnancy,2015,940,15.0,(12.2-18.3),NewYorkState
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2013,1206,72.9,(69.0-76.4),NewYorkState
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2014,901,74.6,(70.9-78.1),NewYorkState
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2015,945,79.3,(75.8-82.5),NewYorkState
Health Care Services,Talked to provider about improving health before pregnancy,2013,1223,23.1,(19.8-26.7),NewYorkState
Health Care Services,Talked to provider about improving health before pregnancy,2014,917,29.2,(25.6-33.1),NewYorkState
Health Care Services,Talked to provider about improving health before pregnancy,2015,951,25.9,(22.5-29.6),NewYorkState
Health Care Services,Began prenatal care in 1st trimester,2013,1206,86.6,(83.4-89.2),NewYorkState
Health Care Services,Began prenatal care in 1st trimester,2014,916,87.0,(83.8-89.6),NewYorkState
Health Care Services,Began prenatal care in 1st trimester,2015,939,85.5,(82.1-88.3),NewYorkState
Health Care Services,Took childbirth class,2013,1211,21.7,(18.4-25.3),NewYorkState
Health Care Services,Took childbirth class,2014,905,20.3,(17.2-23.7),NewYorkState
Health Care Services,Took childbirth class,2015,948,21.0,(17.9-24.4),NewYorkState
Health Care Services,Had home visitor during pregnancy,2013,1211,8.0,(6.0-10.6),NewYorkState
Health Care Services,Had home visitor during pregnancy,2014,909,5.9,(4.2-8.2),NewYorkState
Health Care Services,Had home visitor during pregnancy,2015,944,5.9,(4.2-8.3),NewYorkState
Health Care Services,Had flu shot before or during pregnancy,2013,1182,54.5,(50.3-58.7),NewYorkState
Health Care Services,Had flu shot before or during pregnancy,2014,895,58.7,(54.5-62.7),NewYorkState
Health Care Services,Had flu shot before or during pregnancy,2015,941,57.4,(53.3-61.5),NewYorkState
Health Care Services,Had maternal postpartum checkup,2013,1217,90.6,(87.8-92.8),NewYorkState
Health Care Services,Had maternal postpartum checkup,2014,910,90.2,(87.3-92.4),NewYorkState
Health Care Services,Had maternal postpartum checkup,2015,943,90.2,(87.3-92.4),NewYorkState
Oral Health,Teeth cleaned during 12 months before pregnancy,2013,1225,61.8,(57.7-65.8),NewYorkState
Oral Health,Teeth cleaned during 12 months before pregnancy,2014,918,65.0,(61.0-68.9),NewYorkState
Oral Health,Teeth cleaned during 12 months before pregnancy,2015,954,60.5,(56.4-64.5),NewYorkState
Oral Health,Teeth cleaned during pregnancy,2013,1208,57.1,(52.9-61.2),NewYorkState
Oral Health,Teeth cleaned during pregnancy,2014,914,57.7,(53.5-61.7),NewYorkState
Oral Health,Teeth cleaned during pregnancy,2015,938,52.9,(48.7-57.0),NewYorkState
Oral Health,Had dental insurance during pregnancy,2013,1200,84.2,(80.9-87.0),NewYorkState
Oral Health,Had dental insurance during pregnancy,2014,910,83.8,(80.6-86.6),NewYorkState
Oral Health,Had dental insurance during pregnancy,2015,935,82.3,(78.9-85.3),NewYorkState
Pre-pregnancy Health Insurance Status,Private insurance,2013,1159,59.7,(55.5-63.8),NewYorkState
Pre-pregnancy Health Insurance Status,Private insurance,2014,902,60.0,(55.8-64.1),NewYorkState
Pre-pregnancy Health Insurance Status,Private insurance,2015,916,60.2,(56.0-64.3),NewYorkState
Pre-pregnancy Health Insurance Status,Medicaid,2013,1159,22.1,(18.7-25.9),NewYorkState
Pre-pregnancy Health Insurance Status,Medicaid,2014,902,23.1,(19.6-27.0),NewYorkState
Pre-pregnancy Health Insurance Status,Medicaid,2015,916,26.5,(22.8-30.5),NewYorkState
Pre-pregnancy Health Insurance Status,No insurance,2013,1159,14.0,(11.3-17.4),NewYorkState
Pre-pregnancy Health Insurance Status,No insurance,2014,902,12.4,(9.8-15.5),NewYorkState
Pre-pregnancy Health Insurance Status,No insurance,2015,916,10.4,(8.0-13.5),NewYorkState
Health Insurance Status During Pregnancy,Private insurance,2013,1130,58.1,(53.8-62.3),NewYorkState
Health Insurance Status During Pregnancy,Private insurance,2014,873,60.2,(55.9-64.3),NewYorkState
Health Insurance Status During Pregnancy,Private insurance,2015,903,59.7,(55.4-63.8),NewYorkState
Health Insurance Status During Pregnancy,Medicaid,2013,1130,36.2,(32.1-40.4),NewYorkState
Health Insurance Status During Pregnancy,Medicaid,2014,873,34.1,(30.1-38.3),NewYorkState
Health Insurance Status During Pregnancy,Medicaid,2015,903,36.5,(32.5-40.8),NewYorkState
Health Insurance Status During Pregnancy,No insurance,2013,1216,2.4,(1.4-4.0),NewYorkState
Health Insurance Status During Pregnancy,No insurance,2014,912,2.9,(1.7-4.7),NewYorkState
Health Insurance Status During Pregnancy,No insurance,2015,952,2.1,(1.2-3.8),NewYorkState
Health Insurance Status Postpartum,Private insurance,2013,1144,55.4,(51.1-59.6),NewYorkState
Health Insurance Status Postpartum,Private insurance,2014,895,56.4,(52.1-60.5),NewYorkState
Health Insurance Status Postpartum,Private insurance,2015,907,57.4,(53.1-61.6),NewYorkState
Health Insurance Status Postpartum,Medicaid,2013,1144,30.9,(27.0-35.1),NewYorkState
Health Insurance Status Postpartum,Medicaid,2014,895,33.5,(29.6-37.7),NewYorkState
Health Insurance Status Postpartum,Medicaid,2015,907,33.7,(29.8-38.0),NewYorkState
Health Insurance Status Postpartum,No insurance,2013,1224,7.4,(5.5-10.0),NewYorkState
Health Insurance Status Postpartum,No insurance,2014,921,5.4,(3.8-7.7),NewYorkState
Health Insurance Status Postpartum,No insurance,2015,956,5.2,(3.6-7.5),NewYorkState
Infant Sleep Practices,Baby most often laid on back to sleep,2013,1166,68.9,(64.7-72.7),NewYorkState
Infant Sleep Practices,Baby most often laid on back to sleep,2014,872,76.2,(72.4-79.6),NewYorkState
Infant Sleep Practices,Baby most often laid on back to sleep,2015,895,79.1,(75.4-82.4),NewYorkState
Breastfeeding Practices,Ever breastfed,2013,1179,82.8,(79.3-85.8),NewYorkState
Breastfeeding Practices,Ever breastfed,2014,878,85.8,(82.5-88.5),NewYorkState
Breastfeeding Practices,Ever breastfed,2015,917,86.2,(82.9-88.9),NewYorkState
Breastfeeding Practices,Any breastfeeding at 8 weeks,2013,1165,61.7,(57.5-65.7),NewYorkState
Breastfeeding Practices,Any breastfeeding at 8 weeks,2014,871,63.8,(59.6-67.7),NewYorkState
Breastfeeding Practices,Any breastfeeding at 8 weeks,2015,906,63.3,(59.1-67.2),NewYorkState
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2012,1632,38.6,(35.7-41.6),Ohio
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2014,1500,38.3,(35.3-41.4),Ohio
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2015,1343,39.3,(35.7-43.1),Ohio
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2012,1660,30.1,(27.4-32.9),Ohio
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2014,1511,31.4,(28.5-34.4),Ohio
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2015,1345,34.1,(30.6-37.8),Ohio
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2012,1657,41.3,(38.4-44.3),Ohio
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2014,1512,43.1,(40.0-46.2),Ohio
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2015,1348,45.5,(41.7-49.3),Ohio
Pre-pregnancy Weight,Underweight (BMI<18.5),2012,1610,4.2,(3.2-5.5),Ohio
Pre-pregnancy Weight,Underweight (BMI<18.5),2014,1468,4.3,(3.2-5.7),Ohio
Pre-pregnancy Weight,Underweight (BMI<18.5),2015,1329,4.8,(3.4-6.9),Ohio
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2012,1610,24.0,(21.5-26.7),Ohio
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2014,1468,25.3,(22.5-28.2),Ohio
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2015,1329,20.7,(17.8-24.0),Ohio
Pre-pregnancy Weight,Obese (BMI >30),2012,1610,25.6,(22.9-28.4),Ohio
Pre-pregnancy Weight,Obese (BMI >30),2014,1468,23.8,(21.1-26.7),Ohio
Pre-pregnancy Weight,Obese (BMI >30),2015,1329,27.4,(24.0-31.0),Ohio
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2012,1636,31.6,(28.7-34.5),Ohio
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2014,1504,29.9,(26.9-33.1),Ohio
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2015,1341,26.6,(23.1-30.3),Ohio
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2012,1634,15.2,(13.0-17.6),Ohio
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2014,1507,16.8,(14.4-19.6),Ohio
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2015,1340,14.6,(11.9-17.9),Ohio
Substance Use,Any cigarette smoking postpartum,2012,1631,21.5,(19.0-24.2),Ohio
Substance Use,Any cigarette smoking postpartum,2014,1503,20.3,(17.7-23.3),Ohio
Substance Use,Any cigarette smoking postpartum,2015,1340,17.2,(14.3-20.6),Ohio
Substance Use,Any alcohol use during the 3 months before pregnancy,2012,1635,63.2,(60.1-66.1),Ohio
Substance Use,Any alcohol use during the 3 months before pregnancy,2014,1496,64.0,(60.8-67.0),Ohio
Substance Use,Any alcohol use during the 3 months before pregnancy,2015,1341,63.8,(60.0-67.5),Ohio
Substance Use,Any alcohol use during the last 3 months of pregnancy,2012,1634,6.0,(4.7-7.6),Ohio
Substance Use,Any alcohol use during the last 3 months of pregnancy,2014,1501,5.0,(3.9-6.4),Ohio
Substance Use,Any alcohol use during the last 3 months of pregnancy,2015,1340,6.4,(5.0-8.1),Ohio
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2012,1640,3.1,(2.1-4.5),Ohio
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2014,1506,1.6,(1.0-2.6),Ohio
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2015,1340,3.0,(1.9-4.7),Ohio
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2012,1639,3.2,(2.2-4.5),Ohio
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2014,1505,1.4,(0.8-2.4),Ohio
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2015,1340,2.4,(1.4-4.0),Ohio
Depression,Told by a provider had depression before pregnancy,2012,1621,12.0,(10.1-14.1),Ohio
Depression,Told by a provider had depression before pregnancy,2014,1489,10.1,(8.3-12.3),Ohio
Depression,Told by a provider had depression before pregnancy,2015,1340,12.6,(10.2-15.5),Ohio
Depression,Self-reported postpartum depressive symptoms,2012,1629,13.2,(11.3-15.4),Ohio
Depression,Self-reported postpartum depressive symptoms,2014,1503,15.3,(13.0-18.0),Ohio
Depression,Self-reported postpartum depressive symptoms,2015,1338,16.1,(13.4-19.3),Ohio
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2012,1358,42.2,(38.9-45.6),Ohio
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2014,1275,42.2,(38.8-45.8),Ohio
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2015,1141,38.1,(34.1-42.3),Ohio
Pregnancy Intention and Family Planning,Unsure about pregnancy,2012,1613,16.8,(14.6-19.3),Ohio
Pregnancy Intention and Family Planning,Unsure about pregnancy,2014,1491,15.2,(13.0-17.7),Ohio
Pregnancy Intention and Family Planning,Unsure about pregnancy,2015,1344,16.2,(13.5-19.3),Ohio
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2012,1627,79.7,(77.1-82.0),Ohio
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2014,1499,81.3,(78.7-83.7),Ohio
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2015,1335,76.8,(73.3-79.9),Ohio
Health Care Services,Talked to provider about improving health before pregnancy,2012,1629,21.4,(19.0-23.9),Ohio
Health Care Services,Talked to provider about improving health before pregnancy,2014,1497,20.0,(17.7-22.5),Ohio
Health Care Services,Talked to provider about improving health before pregnancy,2015,1337,19.1,(16.4-22.1),Ohio
Health Care Services,Began prenatal care in 1st trimester,2012,1621,85.8,(83.5-87.8),Ohio
Health Care Services,Began prenatal care in 1st trimester,2014,1495,85.3,(82.7-87.5),Ohio
Health Care Services,Began prenatal care in 1st trimester,2015,1335,84.9,(81.8-87.6),Ohio
Health Care Services,Took childbirth class,2012,1643,21.4,(19.1-23.9),Ohio
Health Care Services,Took childbirth class,2014,1510,18.3,(16.0-20.8),Ohio
Health Care Services,Took childbirth class,2015,1342,19.0,(16.3-22.0),Ohio
Health Care Services,Had home visitor during pregnancy,2012,1643,5.4,(4.2-6.8),Ohio
Health Care Services,Had home visitor during pregnancy,2014,1513,6.2,(4.8-7.8),Ohio
Health Care Services,Had home visitor during pregnancy,2015,1345,5.7,(4.3-7.5),Ohio
Health Care Services,Had flu shot before or during pregnancy,2012,1634,39.6,(36.8-42.6),Ohio
Health Care Services,Had flu shot before or during pregnancy,2014,1499,48.2,(45.1-51.4),Ohio
Health Care Services,Had flu shot before or during pregnancy,2015,1330,49.8,(46.0-53.6),Ohio
Health Care Services,Had maternal postpartum checkup,2012,1630,90.9,(88.9-92.5),Ohio
Health Care Services,Had maternal postpartum checkup,2014,1505,90.4,(88.2-92.2),Ohio
Health Care Services,Had maternal postpartum checkup,2015,1341,89.6,(86.9-91.9),Ohio
Oral Health,Teeth cleaned during 12 months before pregnancy,2012,1659,60.3,(57.3-63.2),Ohio
Oral Health,Teeth cleaned during 12 months before pregnancy,2014,1510,60.0,(56.8-63.2),Ohio
Oral Health,Teeth cleaned during 12 months before pregnancy,2015,1346,57.5,(53.7-61.3),Ohio
Oral Health,Teeth cleaned during pregnancy,2012,1640,49.9,(46.9-53.0),Ohio
Oral Health,Teeth cleaned during pregnancy,2014,1502,49.5,(46.3-52.7),Ohio
Oral Health,Teeth cleaned during pregnancy,2015,1337,49.5,(45.7-53.3),Ohio
Oral Health,Had dental insurance during pregnancy,2012,1637,80.3,(77.7-82.7),Ohio
Oral Health,Had dental insurance during pregnancy,2014,1496,83.4,(80.9-85.7),Ohio
Oral Health,Had dental insurance during pregnancy,2015,1333,80.5,(77.2-83.4),Ohio
Pre-pregnancy Health Insurance Status,Private insurance,2012,1605,59.4,(56.3-62.4),Ohio
Pre-pregnancy Health Insurance Status,Private insurance,2014,1474,59.0,(55.7-62.2),Ohio
Pre-pregnancy Health Insurance Status,Private insurance,2015,1322,59.7,(55.8-63.4),Ohio
Pre-pregnancy Health Insurance Status,Medicaid,2012,1605,24.3,(21.7-27.2),Ohio
Pre-pregnancy Health Insurance Status,Medicaid,2014,1474,27.1,(24.2-30.3),Ohio
Pre-pregnancy Health Insurance Status,Medicaid,2015,1322,29.4,(25.9-33.1),Ohio
